Store Number,Store Name,Address,City
11601-103746,The Junction,"13761 Mono Way, A, Sonora Crossroads Sonora CA",Sonora
6439-48199,Sonora Crossroads - Sonora,133 Old Wards Ferry Road Sonora CA,Sonora
74951-101849,Safeway - Soquel #1929,2720 41st Ave Soquel CA,Soquel
10669-100788,41st & Soquel,"2740 41st Street, 100 Soquel CA",Soquel
79760-108476,Vons - South Corona #2818,11800 De Palma Road SOUTH CORONA CA,SOUTH CORONA
27215-245385,Durfee & Thienes,"11331 Thienes Avenue, Suite A South El Monte CA",South El Monte
3973-146285,Target South Gate T-190,"5700 Firestone Blvd, Town Center at Lake Tahoe South Gate CA",South Gate
6991-86062,Heavenly South Lake Tahoe,"4000 S LAKE TAHOE BLVD, 24 South Lake Tahoe CA",South Lake Tahoe
21756-215164,"Heavenly Village, S Lake Tahoe, CA",1001 Heavenly Village Way South Lake Tahoe CA,South Lake Tahoe
5478-1134,CA 89 and US 50 - South Lake Tahoe,1064 Emerald Bay Road South Lake Tahoe CA,South Lake Tahoe
74189-35461,Safeway - South Lake Tahoe #1824,1020 Johnson Dr. South Lake Tahoe CA,South Lake Tahoe
5648-1811,Fair Oaks & State Street,454 North Fair Oaks Ave South Pasadena CA,South Pasadena
74686-96297,Vons-South Pasadena #2228,1213 Fair Oaks Ave South Pasadena CA,South Pasadena
6980-86481,"Huntington & Fremont, S. Pasadena","1318 Huntington Drive, Transit Village South Pasadena CA",South Pasadena
10225-98587,El Camino & McLellan,"100 McLellan Dr, 1075 South San Francisco CA",South San Francisco
9687-72943,Grand & Linden,329 Grand Avenue South San Francisco CA,South San Francisco
79650-115165,Safeway - San Francisco #3116,2255 Gellert Blvd South San Francisco CA,South San Francisco
5312-907,176 Gateway Blvd.,176 Gateway Blvd. South San Francisco CA,South San Francisco
8636-93711,"Firestone & Long Beach, Southg",8924 Long Beach Blvd. Southgate CA,Southgate
5834-22761,"Firestone & Garfield, Southgate","8620 Garfield Ave, Ste 102 Southgate CA",Southgate
9350-95417,"Sweetwater & Jamacha, San Diego","8626 Jamacha Blvd., #100 Spring Valley CA",Spring Valley
6793-193504,Campo & Bonita,9809 Campo Road Spring Valley CA,Spring Valley
17211-170948,Tresidder Union - Stanford,"459 Lagunita Drive, Beach/Chapman Center Stanford CA",Stanford
6576-15934,Beach & Chapman,11931 Beach Blvd. Stanton CA,Stanton
5308-314,The Old Road & Stevenson Ranch Pkwy,"25900 The Old Road, Sherwood Mall Stevenson Ranch CA",Stevenson Ranch
6550-62567,Pacific & Yokuts - Stockton,"5350 Pacific Avenue, Suite #J4 Stockton CA",Stockton
74464-83281,Safeway-Stockton #2707,6445 N Pacific Ave Stockton CA,Stockton
13402-107358,"March & West, Stockton",5010 West Lane Stockton CA,Stockton
5470-1194,2535 Pacific Ave. - Stockton,"2535 Pacific Avenue, Eastland Plaza Shopping Center Stockton CA",Stockton
10818-102498,Fremont & Wilson - Stockton,"1705 E. Fremont St., A Stockton CA",Stockton
10183-99965,Arch Road & Hwy 99 - Stockton,"4895 S. State Hwy 99, East Frontage Road Stockton CA",Stockton
7957-95208,Hwy 99 & Waterloo - Stockton,4426 East Waterloo Road Stockton CA,Stockton
5319-859,Lincoln Center - Stockton,121 Lincoln Center Stockton CA,Stockton
